Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
359;100;39915360.00;462;9.52;-1.13;-0.73;0.03
360;100;40001464.00;462;9.72;0.27;-1.12;0.40
361;100;40087568.00;464;9.84;0.40;-0.40;0.33
362;100;40259816.00;462;10.09;1.40;-0.99;0.06
363;100;40345920.00;465;9.84;-0.40;-0.44;0.12
364;100;40432028.00;466;9.96;-0.77;-1.45;0.16
365;100;40518168.00;464;9.60;1.13;-0.66;0.34
366;100;40604276.00;462;9.56;-1.27;-1.20;0.23
367;100;40690364.00;462;9.56;0.82;-0.96;0.40
368;100;40776484.00;462;9.60;0.24;-0.37;0.12
369;100;40862612.00;462;9.48;-1.10;-1.31;0.07
370;100;40948728.00;462;9.44;1.21;-0.87;0.07
371;100;41034828.00;463;9.60;-0.78;-0.70;0.06
372;100;41120956.00;463;9.64;0.13;-1.10;0.35
373;100;41207072.00;463;9.80;1.13;-0.37;0.06
374;100;41293184.00;464;9.92;-1.63;-1.19;0.43
375;100;41465396.00;466;10.21;0.43;-0.08;0.37
376;100;41551520.00;466;10.25;-0.98;-1.53;0.11
377;100;41637624.00;466;10.05;1.47;-0.98;0.26
378;100;41723724.00;464;9.88;-0.65;-0.50;0.25
379;100;41809844.00;463;9.88;-0.12;-1.34;0.40
380;100;41895944.00;461;9.88;0.74;-0.52;0.53
381;100;41982080.00;461;9.64;-1.59;-1.20;0.30
382;100;42068180.00;462;9.07;1.47;-0.70;0.42
383;100;42154292.00;458;9.19;-0.23;-0.48;0.16
384;100;42240408.00;457;9.35;-0.25;-1.17;0.23
385;100;42326516.00;459;9.84;1.09;-0.84;0.57
386;100;42412628.00;464;9.64;-1.24;-0.90;0.03
387;100;42498756.00;465;9.52;0.69;-0.88;0.40
388;100;42584860.00;460;9.52;0.10;-0.35;0.15
389;100;42670992.00;458;10.13;-1.22;-1.47;0.23
390;100;42757096.00;458;9.96;1.36;-0.70;0.00
391;100;42843208.00;456;9.88;-1.33;-0.68;0.04
392;100;42929332.00;458;9.88;0.24;-1.06;0.22
393;100;43015436.00;461;10.09;0.41;-0.34;0.08
394;100;43101568.00;462;10.13;-1.31;-1.40;0.40
395;100;43187676.00;464;10.05;1.14;-0.93;0.13
396;100;43273776.00;465;10.17;0.05;-0.50;0.27
397;100;43359892.00;461;10.33;-0.84;-1.53;0.23
398;100;43446000.00;458;9.96;1.37;-0.68;0.40
